id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthCountry,birthStateProvince,team,player_name
8477504,https://assets.nhle.com/mugs/nhl/20242025/WPG/8477504.png,Josh,Morrissey,44.0,D,L,72,195,183,88,1995-03-28,{'default': 'Calgary'},CAN,{'default': 'AB'},WPG,Josh Morrissey
8482192,https://assets.nhle.com/mugs/nhl/20242025/WPG/8482192.png,Isaak,Phillips,,D,L,75,205,191,93,2001-09-28,{'default': 'Barrie'},CAN,{'default': 'ON'},WPG,Isaak Phillips
8480145,https://assets.nhle.com/mugs/nhl/20242025/WPG/8480145.png,Neal,Pionk,4.0,D,R,72,190,183,86,1995-07-29,{'default': 'Omaha'},USA,{'default': 'NE'},WPG,Neal Pionk
8483510,https://assets.nhle.com/mugs/nhl/20242025/WPG/8483510.png,Elias,Salomonsson,57.0,D,R,72,172,183,78,2004-08-31,"{'default': 'Skelleftea', 'fi': 'Skellefteå', 'sv': 'Skellefteå'}",SWE,,WPG,Elias Salomonsson
8480049,https://assets.nhle.com/mugs/nhl/20242025/WPG/8480049.png,Dylan,Samberg,54.0,D,L,76,216,193,98,1999-01-24,{'default': 'Saginaw'},USA,{'default': 'MN'},WPG,Dylan Samberg
8474568,https://assets.nhle.com/mugs/nhl/20242025/WPG/8474568.png,Luke,Schenn,5.0,D,R,74,225,188,102,1989-11-02,{'default': 'Saskatoon'},CAN,{'default': 'SK'},WPG,Luke Schenn
8479378,https://assets.nhle.com/mugs/nhl/20242025/WPG/8479378.png,Logan,Stanley,64.0,D,L,79,231,201,105,1998-05-26,{'default': 'Waterloo'},CAN,{'default': 'ON'},WPG,Logan Stanley
8477480,https://assets.nhle.com/mugs/nhl/20242025/WPG/8477480.png,Eric,Comrie,1.0,G,L,73,190,185,86,1995-07-06,{'default': 'Edmonton'},CAN,{'default': 'AB'},WPG,Eric Comrie
8476904,https://assets.nhle.com/mugs/nhl/20242025/WPG/8476904.png,Chris,Driedger,60.0,G,L,76,210,193,95,1994-05-18,{'default': 'Winnipeg'},CAN,{'default': 'MB'},WPG,Chris Driedger
8476945,https://assets.nhle.com/mugs/nhl/20242025/WPG/8476945.png,Connor,Hellebuyck,37.0,G,L,76,207,193,94,1993-05-19,{'default': 'Commerce'},USA,{'default': 'MI'},WPG,Connor Hellebuyck
8473563,https://assets.nhle.com/mugs/nhl/20242025/WSH/8473563.png,Nicklas,Backstrom,19.0,C,L,73,202,185,92,1987-11-23,{'default': 'Gavle'},SWE,,WSH,Nicklas Backstrom
8478463,https://assets.nhle.com/mugs/nhl/20242025/WSH/8478463.png,Anthony,Beauvillier,72.0,L,L,71,180,180,82,1997-06-08,{'default': 'Sorel-Tracy'},CAN,{'default': 'QC'},WSH,Anthony Beauvillier
8475343,https://assets.nhle.com/mugs/nhl/20242025/WSH/8475343.png,Nic,Dowd,26.0,C,R,74,190,188,86,1990-05-27,{'default': 'Huntsville'},USA,{'default': 'AL'},WSH,Nic Dowd
8479400,https://assets.nhle.com/mugs/nhl/20242025/WSH/8479400.png,Pierre-Luc,Dubois,80.0,L,L,76,220,193,100,1998-06-24,{'default': 'Ste-Agathe-des-Monts'},CAN,{'default': 'QC'},WSH,Pierre-Luc Dubois
8479520,https://assets.nhle.com/mugs/nhl/20242025/WSH/8479520.png,Brandon,Duhaime,22.0,R,L,74,210,188,95,1997-05-22,{'default': 'Coral Springs'},USA,{'default': 'FL'},WSH,Brandon Duhaime
8474189,https://assets.nhle.com/mugs/nhl/20242025/WSH/8474189.png,Lars,Eller,20.0,C,L,74,208,188,94,1989-05-08,"{'default': 'Rodovre', 'fi': 'Rødovre', 'sv': 'Rødovre'}",DNK,,WSH,Lars Eller
8483573,https://assets.nhle.com/mugs/nhl/20242025/WSH/8483573.png,Ethen,Frank,53.0,C,R,71,188,180,85,1998-02-05,{'default': 'Aurora'},USA,{'default': 'CO'},WSH,Ethen Frank
8484186,https://assets.nhle.com/mugs/nhl/20242025/WSH/8484186.png,Ryan,Leonard,9.0,R,R,72,192,183,87,2005-01-21,{'default': 'Northampton'},USA,{'default': 'MA'},WSH,Ryan Leonard
8478233,https://assets.nhle.com/mugs/nhl/20242025/WSH/8478233.png,Andrew,Mangiapane,88.0,L,L,70,183,178,83,1996-04-04,{'default': 'Toronto'},CAN,{'default': 'ON'},WSH,Andrew Mangiapane
8481580,https://assets.nhle.com/mugs/nhl/20242025/WSH/8481580.png,Connor,McMichael,24.0,C,L,72,180,183,82,2001-01-15,{'default': 'Ajax'},CAN,{'default': 'ON'},WSH,Connor McMichael
8477947,https://assets.nhle.com/mugs/nhl/20242025/WSH/8477947.png,Sonny,Milano,15.0,L,L,72,194,183,88,1996-05-12,{'default': 'Massapequa'},USA,{'default': 'NY'},WSH,Sonny Milano
8471698,https://assets.nhle.com/mugs/nhl/20242025/WSH/8471698.png,T.J.,Oshie,77.0,R,R,72,187,183,85,1986-12-23,{'default': 'Everett'},USA,{'default': 'WA'},WSH,T.J. Oshie
8471214,https://assets.nhle.com/mugs/nhl/20242025/WSH/8471214.png,Alex,Ovechkin,8.0,L,R,75,238,191,108,1985-09-17,"{'default': 'Moscow', 'cs': 'Moskva', 'de': 'Moskau', 'fi': 'Moskova', 'fr': 'Moscou', 'sk': 'Moskva', 'sv': 'Moskva'}",RUS,,WSH,Alex Ovechkin
8481656,https://assets.nhle.com/mugs/nhl/20242025/WSH/8481656.png,Aliaksei,Protas,21.0,C,L,78,247,198,112,2001-01-06,{'default': 'Vitebsk'},BLR,,WSH,Aliaksei Protas
8479390,https://assets.nhle.com/mugs/nhl/20242025/WSH/8479390.png,Taylor,Raddysh,16.0,R,R,75,200,191,91,1998-02-18,{'default': 'Caledon'},CAN,{'default': 'ON'},WSH,Taylor Raddysh
8478440,https://assets.nhle.com/mugs/nhl/20242025/WSH/8478440.png,Dylan,Strome,17.0,C,L,75,196,191,89,1997-03-07,{'default': 'Mississauga'},CAN,{'default': 'ON'},WSH,Dylan Strome
8476880,https://assets.nhle.com/mugs/nhl/20242025/WSH/8476880.png,Tom,Wilson,43.0,R,R,76,225,193,102,1994-03-29,{'default': 'Toronto'},CAN,{'default': 'ON'},WSH,Tom Wilson
8480823,https://assets.nhle.com/mugs/nhl/20242025/WSH/8480823.png,Alexander,Alexeyev,27.0,D,L,76,229,193,104,1999-11-15,"{'default': 'St. Petersburg', 'cs': 'Petrohrad', 'fi': 'Pietari', 'fr': 'Saint-Pétersbourg', 'sk': 'Petrohrad'}",RUS,,WSH,Alexander Alexeyev
8474590,https://assets.nhle.com/mugs/nhl/20242025/WSH/8474590.png,John,Carlson,74.0,D,R,75,220,191,100,1990-01-10,{'default': 'Natick'},USA,{'default': 'MA'},WSH,John Carlson
8479345,https://assets.nhle.com/mugs/nhl/20242025/WSH/8479345.png,Jakob,Chychrun,6.0,D,L,74,216,188,98,1998-03-31,{'default': 'Boca Raton'},USA,{'default': 'FL'},WSH,Jakob Chychrun
8480796,https://assets.nhle.com/mugs/nhl/20242025/WSH/8480796.png,Martin,Fehérváry,42.0,D,L,74,203,188,92,1999-10-06,{'default': 'Bratislava'},SVK,,WSH,Martin Fehérváry
8475795,https://assets.nhle.com/mugs/nhl/20242025/WSH/8475795.png,Dylan,McIlrath,52.0,D,R,77,240,196,109,1992-04-20,{'default': 'Winnipeg'},CAN,{'default': 'MB'},WSH,Dylan McIlrath
8478911,https://assets.nhle.com/mugs/nhl/20242025/WSH/8478911.png,Matt,Roy,3.0,D,R,74,212,188,96,1995-03-01,{'default': 'Detroit'},USA,{'default': 'MI'},WSH,Matt Roy
8480873,https://assets.nhle.com/mugs/nhl/20242025/WSH/8480873.png,Rasmus,Sandin,38.0,D,L,71,189,180,86,2000-03-07,{'default': 'Uppsala'},SWE,,WSH,Rasmus Sandin
8477845,https://assets.nhle.com/mugs/nhl/20242025/WSH/8477845.png,Trevor,van Riemsdyk,57.0,D,R,75,197,191,89,1991-07-24,{'default': 'Middletown'},USA,{'default': 'NJ'},WSH,Trevor van Riemsdyk
8479292,https://assets.nhle.com/mugs/nhl/20242025/WSH/8479292.png,Charlie,Lindgren,79.0,G,R,74,190,188,86,1993-12-18,{'default': 'Lakeville'},USA,{'default': 'MN'},WSH,Charlie Lindgren
8480313,https://assets.nhle.com/mugs/nhl/20242025/WSH/8480313.png,Logan,Thompson,48.0,G,R,76,207,193,94,1997-02-25,{'default': 'Calgary'},CAN,{'default': 'AB'},WSH,Logan Thompson
8477964,https://assets.nhle.com/mugs/nhl/20242025/VGK/8477964.png,Ivan,Barbashev,49.0,C,L,72,203,183,92,1995-12-14,"{'default': 'Moscow', 'cs': 'Moskva', 'de': 'Moskau', 'fi': 'Moskova', 'fr': 'Moscou', 'sk': 'Moskva', 'sv': 'Moskva'}",RUS,,VGK,Ivan Barbashev
8481604,https://assets.nhle.com/mugs/nhl/20242025/VGK/8481604.png,Pavel,Dorofeyev,16.0,L,L,73,194,185,88,2000-10-26,"{'default': 'Nizhny Tagil', 'cs': 'Nižnij Tagil', 'fi': 'Nizhni Tagil', 'sk': 'Nižnij Tagil'}",RUS,,VGK,Pavel Dorofeyev
8478403,https://assets.nhle.com/mugs/nhl/20242025/VGK/8478403.png,Jack,Eichel,9.0,C,R,74,206,188,93,1996-10-28,{'default': 'North Chelmsford'},USA,{'default': 'MA'},VGK,Jack Eichel
8476881,https://assets.nhle.com/mugs/nhl/20242025/VGK/8476881.png,Tomas,Hertl,48.0,C,L,75,220,191,100,1993-11-12,{'default': 'Praha'},CZE,,VGK,Tomas Hertl
8482125,https://assets.nhle.com/mugs/nhl/20242025/VGK/8482125.png,Alexander,Holtz,26.0,R,R,72,198,183,90,2002-01-23,"{'default': 'Stockholm', 'fi': 'Tukholma'}",SWE,,VGK,Alexander Holtz
8479353,https://assets.nhle.com/mugs/nhl/20242025/VGK/8479353.png,Brett,Howden,21.0,C,L,74,201,188,91,1998-03-29,{'default': 'Calgary'},CAN,{'default': 'AB'},VGK,Brett Howden
8476448,https://assets.nhle.com/mugs/nhl/20242025/VGK/8476448.png,William,Karlsson,71.0,C,L,72,190,183,86,1993-01-08,"{'default': 'Marsta', 'cs': 'Märsta', 'fi': 'Märsta', 'sk': 'Märsta', 'sv': 'Märsta'}",SWE,,VGK,William Karlsson
8478434,https://assets.nhle.com/mugs/nhl/20242025/VGK/8478434.png,Keegan,Kolesar,55.0,R,R,74,216,188,98,1997-04-08,{'default': 'Brandon'},CAN,{'default': 'MB'},VGK,Keegan Kolesar
8479550,https://assets.nhle.com/mugs/nhl/20242025/VGK/8479550.png,Tanner,Laczynski,28.0,C,R,73,205,185,93,1997-06-01,{'default': 'Minooka'},USA,{'default': 'IL'},VGK,Tanner Laczynski
8481534,https://assets.nhle.com/mugs/nhl/20242025/VGK/8481534.png,Raphael,Lavoie,36.0,C,R,76,215,193,98,2000-09-25,{'default': 'Chambly'},CAN,{'default': 'QC'},VGK,Raphael Lavoie
8478109,https://assets.nhle.com/mugs/nhl/20242025/VGK/8478109.png,Victor,Olofsson,95.0,R,L,71,180,180,82,1995-07-18,"{'default': 'Ornskoldsvik', 'cs': 'Örnsköldsvik', 'fi': 'Örnsköldsvik', 'sk': 'Örnsköldsvik', 'sv': 'Örnsköldsvik'}",SWE,,VGK,Victor Olofsson
8476871,https://assets.nhle.com/mugs/nhl/20242025/VGK/8476871.png,Tanner,Pearson,70.0,L,L,73,207,185,94,1992-08-10,{'default': 'Kitchener'},CAN,{'default': 'ON'},VGK,Tanner Pearson
8480007,https://assets.nhle.com/mugs/nhl/20242025/VGK/8480007.png,Jonas,Rondbjerg,46.0,R,L,74,204,188,93,1999-03-31,{'default': 'Horsholm'},DNK,,VGK,Jonas Rondbjerg
8478462,https://assets.nhle.com/mugs/nhl/20242025/VGK/8478462.png,Nicolas,Roy,10.0,C,R,76,201,193,91,1997-02-05,{'default': 'Amos'},CAN,{'default': 'QC'},VGK,Nicolas Roy
8476438,https://assets.nhle.com/mugs/nhl/20242025/VGK/8476438.png,Brandon,Saad,20.0,L,L,73,215,185,98,1992-10-27,{'default': 'Pittsburgh'},USA,{'default': 'PA'},VGK,Brandon Saad
8481655,https://assets.nhle.com/mugs/nhl/20242025/VGK/8481655.png,Cole,Schwindt,22.0,R,R,74,203,188,92,2001-04-25,{'default': 'Kitchener'},CAN,{'default': 'ON'},VGK,Cole Schwindt
8475191,https://assets.nhle.com/mugs/nhl/20242025/VGK/8475191.png,Reilly,Smith,19.0,R,L,73,185,185,84,1991-04-01,{'default': 'Mimico'},CAN,{'default': 'ON'},VGK,Reilly Smith
8475913,https://assets.nhle.com/mugs/nhl/20242025/VGK/8475913.png,Mark,Stone,61.0,R,R,75,210,191,95,1992-05-13,{'default': 'Winnipeg'},CAN,{'default': 'MB'},VGK,Mark Stone
8482141,https://assets.nhle.com/mugs/nhl/20242025/VGK/8482141.png,Lukas,Cormier,51.0,D,L,71,190,180,86,2002-03-27,{'default': 'Sainte-Marie-de-Kent'},CAN,{'default': 'NB'},VGK,Lukas Cormier
8477462,https://assets.nhle.com/mugs/nhl/20242025/VGK/8477462.png,Robert,Hagg,18.0,D,L,74,210,188,95,1995-02-08,{'default': 'Uppsala'},SWE,,VGK,Robert Hagg
8479980,https://assets.nhle.com/mugs/nhl/20242025/VGK/8479980.png,Nicolas,Hague,14.0,D,L,78,245,198,111,1998-12-05,{'default': 'Kitchener'},CAN,{'default': 'ON'},VGK,Nicolas Hague
8478396,https://assets.nhle.com/mugs/nhl/20242025/VGK/8478396.png,Noah,Hanifin,15.0,D,L,75,206,191,93,1997-01-25,{'default': 'Boston'},USA,{'default': 'MA'},VGK,Noah Hanifin
8477018,https://assets.nhle.com/mugs/nhl/20242025/VGK/8477018.png,Ben,Hutton,17.0,D,L,75,209,191,95,1993-04-20,{'default': 'Brockville'},CAN,{'default': 'ON'},VGK,Ben Hutton
8481527,https://assets.nhle.com/mugs/nhl/20242025/VGK/8481527.png,Kaedan,Korczak,6.0,D,R,75,203,191,92,2001-01-29,{'default': 'Yorkton'},CAN,{'default': 'SK'},VGK,Kaedan Korczak
8478062,https://assets.nhle.com/mugs/nhl/20242025/VGK/8478062.png,Dysin,Mayo,65.0,D,R,72,190,183,86,1996-08-17,{'default': 'Victoria'},CAN,{'default': 'BC'},VGK,Dysin Mayo
8475188,https://assets.nhle.com/mugs/nhl/20242025/VGK/8475188.png,Brayden,McNabb,3.0,D,L,76,215,193,98,1991-01-21,{'default': 'Davidson'},CAN,{'default': 'SK'},VGK,Brayden McNabb
8474565,https://assets.nhle.com/mugs/nhl/20242025/VGK/8474565.png,Alex,Pietrangelo,7.0,D,R,75,215,191,98,1990-01-18,{'default': 'King City'},CAN,{'default': 'ON'},VGK,Alex Pietrangelo
8477447,https://assets.nhle.com/mugs/nhl/20242025/VGK/8477447.png,Shea,Theodore,27.0,D,L,74,197,188,89,1995-08-03,{'default': 'Aldergrove'},CAN,{'default': 'BC'},VGK,Shea Theodore
8480727,https://assets.nhle.com/mugs/nhl/20242025/VGK/8480727.png,Zach,Whitecloud,2.0,D,R,74,210,188,95,1996-11-28,{'default': 'Brandon'},CAN,{'default': 'MB'},VGK,Zach Whitecloud
8478499,https://assets.nhle.com/mugs/nhl/20242025/VGK/8478499.png,Adin,Hill,33.0,G,L,76,215,193,98,1996-05-11,{'default': 'Comox'},CAN,{'default': 'BC'},VGK,Adin Hill
8482761,https://assets.nhle.com/mugs/nhl/20242025/VGK/8482761.png,Carl,Lindbom,30.0,G,L,72,165,183,75,2003-05-20,"{'default': 'Stockholm', 'fi': 'Tukholma'}",SWE,,VGK,Carl Lindbom
8478492,https://assets.nhle.com/mugs/nhl/20242025/VGK/8478492.png,Ilya,Samsonov,35.0,G,L,75,208,191,94,1997-02-22,{'default': 'Magnitogorsk'},RUS,,VGK,Ilya Samsonov
8481033,https://assets.nhle.com/mugs/nhl/20242025/VGK/8481033.png,Akira,Schmid,40.0,G,L,77,190,196,86,2000-05-12,"{'default': 'Bern', 'fr': 'Berne'}",CHE,,VGK,Akira Schmid
8481720,https://assets.nhle.com/mugs/nhl/20242025/TOR/8481720.png,Nick,Abruzzese,26.0,C,L,71,183,180,83,1999-06-04,{'default': 'Slate Hill'},USA,{'default': 'NY'},TOR,Nick Abruzzese
8477503,https://assets.nhle.com/mugs/nhl/20242025/TOR/8477503.png,Max,Domi,11.0,C,L,70,209,178,95,1995-03-02,{'default': 'Winnipeg'},CAN,{'default': 'MB'},TOR,Max Domi
8482130,https://assets.nhle.com/mugs/nhl/20242025/TOR/8482130.png,Roni,Hirvonen,33.0,C,L,70,178,178,81,2002-01-10,"{'default': 'Espoo', 'sv': 'Esbo'}",FIN,,TOR,Roni Hirvonen
8480995,https://assets.nhle.com/mugs/nhl/20242025/TOR/8480995.png,Pontus,Holmberg,29.0,R,L,72,201,183,91,1999-03-09,"{'default': 'Vasteras', 'cs': 'Västeras', 'fi': 'Västerås', 'sk': 'Västeras', 'sv': 'Västerås'}",SWE,,TOR,Pontus Holmberg
8475714,https://assets.nhle.com/mugs/nhl/20242025/TOR/8475714.png,Calle,Jarnkrok,19.0,C,R,72,191,183,87,1991-09-25,{'default': 'Gavle'},SWE,,TOR,Calle Jarnkrok
8481147,https://assets.nhle.com/mugs/nhl/20242025/TOR/8481147.png,Reese,Johnson,71.0,C,R,73,193,185,88,1998-07-10,{'default': 'Regina'},CAN,{'default': 'SK'},TOR,Reese Johnson
8480144,https://assets.nhle.com/mugs/nhl/20242025/TOR/8480144.png,David,Kampf,64.0,C,L,74,193,188,88,1995-01-12,{'default': 'Chomutov'},CZE,,TOR,David Kampf
8482720,https://assets.nhle.com/mugs/nhl/20242025/TOR/8482720.png,Matthew,Knies,23.0,L,L,75,227,191,103,2002-10-17,{'default': 'Phoenix'},USA,{'default': 'AZ'},TOR,Matthew Knies
8476872,https://assets.nhle.com/mugs/nhl/20242025/TOR/8476872.png,Scott,Laughton,24.0,L,L,73,191,185,87,1994-05-30,{'default': 'Oakville'},CAN,{'default': 'ON'},TOR,Scott Laughton
8478904,https://assets.nhle.com/mugs/nhl/20242025/TOR/8478904.png,Steven,Lorentz,18.0,C,L,76,216,193,98,1996-04-13,{'default': 'Kitchener'},CAN,{'default': 'ON'},TOR,Steven Lorentz
8478483,https://assets.nhle.com/mugs/nhl/20242025/TOR/8478483.png,Mitch,Marner,16.0,R,R,72,180,183,82,1997-05-05,{'default': 'Markham'},CAN,{'default': 'ON'},TOR,Mitch Marner
8479318,https://assets.nhle.com/mugs/nhl/20242025/TOR/8479318.png,Auston,Matthews,34.0,C,L,75,217,191,98,1997-09-17,{'default': 'San Ramon'},USA,{'default': 'CA'},TOR,Auston Matthews
8482259,https://assets.nhle.com/mugs/nhl/20242025/TOR/8482259.png,Bobby,McMann,74.0,C,L,74,215,188,98,1996-06-15,{'default': 'Wainwright'},CAN,{'default': 'AB'},TOR,Bobby McMann
8479423,https://assets.nhle.com/mugs/nhl/20242025/TOR/8479423.png,Alex,Nylander,92.0,L,R,73,205,185,93,1998-03-02,{'default': 'Calgary'},CAN,{'default': 'AB'},TOR,Alex Nylander
8477939,https://assets.nhle.com/mugs/nhl/20242025/TOR/8477939.png,William,Nylander,88.0,R,R,72,202,183,92,1996-05-01,{'default': 'Calgary'},CAN,{'default': 'AB'},TOR,William Nylander
8474157,https://assets.nhle.com/mugs/nhl/20242025/TOR/8474157.png,Max,Pacioretty,67.0,L,L,74,217,188,98,1988-11-20,{'default': 'New Canaan'},USA,{'default': 'CT'},TOR,Max Pacioretty
8484901,https://assets.nhle.com/mugs/nhl/20242025/TOR/8484901.png,Jacob,Quillan,61.0,C,L,73,204,185,93,2002-02-02,{'default': 'Dartmouth'},CAN,{'default': 'NS'},TOR,Jacob Quillan
8471817,https://assets.nhle.com/mugs/nhl/20242025/TOR/8471817.png,Ryan,Reaves,75.0,R,R,74,225,188,102,1987-01-20,{'default': 'Winnipeg'},CAN,{'default': 'MB'},TOR,Ryan Reaves
8481582,https://assets.nhle.com/mugs/nhl/20242025/TOR/8481582.png,Nicholas,Robertson,89.0,L,L,69,178,175,81,2001-09-11,{'default': 'Pasadena'},USA,{'default': 'CA'},TOR,Nicholas Robertson
8482634,https://assets.nhle.com/mugs/nhl/20242025/TOR/8482634.png,Alex,Steeves,46.0,C,L,72,202,183,92,1999-12-10,{'default': 'Saint Paul'},USA,{'default': 'MN'},TOR,Alex Steeves
8475166,https://assets.nhle.com/mugs/nhl/20242025/TOR/8475166.png,John,Tavares,91.0,C,L,73,211,185,96,1990-09-20,{'default': 'Mississauga'},CAN,{'default': 'ON'},TOR,John Tavares
8476988,https://assets.nhle.com/mugs/nhl/20242025/TOR/8476988.png,Matt,Benning,55.0,D,R,73,203,185,92,1994-05-25,{'default': 'Edmonton'},CAN,{'default': 'AB'},TOR,Matt Benning
8481122,https://assets.nhle.com/mugs/nhl/20242025/TOR/8481122.png,Simon,Benoit,2.0,D,L,76,211,193,96,1998-09-19,{'default': 'Laval'},CAN,{'default': 'QC'},TOR,Simon Benoit
8478443,https://assets.nhle.com/mugs/nhl/20242025/TOR/8478443.png,Brandon,Carlo,25.0,D,R,77,220,196,100,1996-11-26,{'default': 'Colorado Springs'},USA,{'default': 'CO'},TOR,Brandon Carlo
8475171,https://assets.nhle.com/mugs/nhl/20242025/TOR/8475171.png,Oliver,Ekman-Larsson,95.0,D,L,74,192,188,87,1991-07-17,{'default': 'Karlskrona'},SWE,,TOR,Oliver Ekman-Larsson
8475825,https://assets.nhle.com/mugs/nhl/20242025/TOR/8475825.png,Jani,Hakanpää,28.0,D,R,79,225,201,102,1992-03-31,"{'default': 'Kirkkonummi', 'sv': 'Kyrkslätt'}",FIN,,TOR,Jani Hakanpää
8481614,https://assets.nhle.com/mugs/nhl/20242025/TOR/8481614.png,Mikko,Kokkonen,84.0,D,L,72,200,183,91,2001-01-18,"{'default': 'Mikkeli', 'sv': 'Sankt Michel'}",FIN,,TOR,Mikko Kokkonen
8476931,https://assets.nhle.com/mugs/nhl/20242025/TOR/8476931.png,Jake,McCabe,22.0,D,L,73,212,185,96,1993-10-12,{'default': 'Eau Claire'},USA,{'default': 'WI'},TOR,Jake McCabe
